song,scene,duration,confidence,loudness,tempo,tempo_confidence,key,key_confidence,mode,mode_confidence,time_signature,time_signature_confidence,name,type,active_lights,colors,avg_brightness,avg_strobe,uses_mfft,uses_time,uses_bool,active_light_types,dominant_color
Lady - Hear Me Tonight,chill_pink,7.48968,1.0,-25.464,126.039,0.498,6,0.0,1,0.0,4,1.0,chill_pink,effect,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'rgb4', 'rgb1', 'rgb6']",{'pink': 8},55.0,0.0,True,False,False,{'rgb': 8},pink
goosebumps,ambient1,15.24902,1.0,-11.721,130.308,0.586,4,0.0,1,0.0,4,1.0,ambient1,ambient,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'rgb4', 'orb', 'rgb1', 'rgb6', 'ropes']","{'blue': 4, 'purple': 4}",,0.0,False,True,False,"{'rgb': 8, 'dimmer': 2}",blue
goosebumps,whispers,15.2398,0.963,-8.228,130.073,0.358,7,0.491,1,0.559,4,1.0,whispers,effect,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'strobe', 'rgb4', 'orb', 'rgb1', 'rgb6', 'ropes']","{'blue': 3, 'purple': 3, 'green': 2}",20.833333333333332,0.0,True,True,True,"{'rgb': 8, 'dimmer': 2, 'strobe': 1}",blue
goosebumps,ambient2,12.92776,0.25,-4.76,129.889,0.597,7,0.444,1,0.466,4,1.0,ambient2,ambient,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'rgb4', 'orb', 'rgb1', 'rgb6', 'ropes']",{'red': 8},,0.0,False,True,False,"{'rgb': 8, 'dimmer': 2}",red
goosebumps,party,43.82862,0.8,-1.588,130.131,0.641,7,0.459,1,0.556,4,1.0,party,effect,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'strobe', 'rgb4', 'orb', 'rgb1', 'rgb6', 'lasers', 'discoball', 'ropes']","{'purple': 2, 'pink': 4, 'blue': 1, 'green': 1}",28.333333333333332,85.0,True,True,True,"{'rgb': 8, 'dimmer': 4, 'strobe': 1}",pink
goosebumps,party,31.83905,0.166,-1.784,130.151,0.748,4,0.351,0,0.361,4,1.0,party,effect,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'strobe', 'rgb4', 'orb', 'rgb1', 'rgb6', 'lasers', 'discoball', 'ropes']","{'purple': 2, 'pink': 4, 'blue': 1, 'green': 1}",28.333333333333332,85.0,True,True,True,"{'rgb': 8, 'dimmer': 4, 'strobe': 1}",pink
goosebumps,flicker,20.3288,0.936,-7.622,129.874,0.541,7,0.384,1,0.475,4,0.952,flicker,effect,"['orb', 'ropes']",{},,,False,False,True,{'dimmer': 2},
goosebumps,party,27.71604,0.83,-1.78,129.859,0.665,4,0.509,0,0.437,4,0.983,party,effect,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'strobe', 'rgb4', 'orb', 'rgb1', 'rgb6', 'lasers', 'discoball', 'ropes']","{'purple': 2, 'pink': 4, 'blue': 1, 'green': 1}",28.333333333333332,85.0,True,True,True,"{'rgb': 8, 'dimmer': 4, 'strobe': 1}",pink
goosebumps,red_bass_pulse,9.63426,0.386,-2.352,131.419,0.625,9,0.626,1,0.379,4,1.0,red_bass_pulse,unknown,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'strobe', 'rgb4', 'orb', 'rgb1', 'rgb6', 'lasers', 'discoball', 'ropes']",{'red': 8},85.0,255.0,True,False,True,"{'rgb': 8, 'strobe': 1, 'dimmer': 4}",red
goosebumps,red_bass_pulse,18.46191,0.522,-2.447,127.662,0.622,4,0.118,0,0.374,4,0.946,red_bass_pulse,unknown,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'strobe', 'rgb4', 'orb', 'rgb1', 'rgb6', 'lasers', 'discoball', 'ropes']",{'red': 8},85.0,255.0,True,False,True,"{'rgb': 8, 'strobe': 1, 'dimmer': 4}",red
goosebumps,vintage,17.57416,0.596,-4.972,130.024,0.587,4,0.171,0,0.478,4,1.0,vintage,effect,"['orb', 'ropes']",{},141.25,,True,False,False,{'dimmer': 2},
